NO,W02:[CH#1]chamber heater press,W04:[CH#1]chamber heater press,W06:[CH#1]chamber heater press,W08:[CH#1]chamber heater press,W10:[CH#1]chamber heater press,W12:[CH#1]chamber heater press,W14:[CH#1]chamber heater press,W16:[CH#1]chamber heater press,W19:[CH#1]chamber heater press,W21:[CH#1]chamber heater press,W23:[CH#1]chamber heater press,W25:[CH#1]chamber heater press,
1,0,0,0,10893,27,0,127,0,0,0,0,8561,
2,10769,7097,5456,11564,10381,5394,10457,8210,11089,5087,10446,11759,
3,12058,11637,11552,10985,11612,11588,11612,11685,12211,11612,11771,11324,
4,11407,11206,11455,10273,11043,11324,10939,11348,11467,11467,11159,10601,
5,10612,10457,10679,9738,10338,10769,10370,10590,10712,10712,10457,9976,
6,9986,9986,10049,9378,9779,10102,9779,10091,10198,10198,9986,9617,
7,9607,9497,9627,9031,9417,9577,9368,9577,9708,9738,9447,9222,
8,9212,9145,9222,8844,9078,9300,9107,9261,9408,9339,9174,8993,
9,8918,8844,8956,8660,8807,8984,8881,8993,9088,9107,8974,8770,
10,8752,8679,8706,8516,8624,8742,8651,8770,8881,8890,8752,8624,
11,8561,8534,8597,8428,8516,8624,8525,8624,8733,8742,8615,8534,
12,8472,8428,8472,8357,8410,8481,8436,8490,8615,8615,8534,8445,
13,8392,8375,8375,8296,8357,8410,8357,8410,8516,8534,8445,8392,
14,8322,8305,8305,8270,8296,8349,8340,8384,8481,8445,8410,8357,
15,8288,8288,8270,8253,8262,8296,8288,8305,8445,8428,8375,8305,
16,8262,8253,8236,8244,8244,8288,8270,8296,8410,8410,8349,8305,
17,8253,8253,8236,8236,8236,8270,8270,8270,8410,8410,8349,8322,
18,8236,8253,8236,8253,8253,8270,8270,8270,8410,8410,8357,8322,
19,8253,8270,8236,8270,8236,8270,8296,8270,8410,8410,8357,8349,
20,8253,8270,8236,8296,8262,8270,8305,8296,8428,8410,8366,8357,
21,8270,8270,8253,8314,8270,8296,8340,8322,8445,8428,8392,8384,
22,8296,8305,8262,8331,8305,8305,8357,8357,8472,8445,8428,8410,
23,8305,8314,8270,8349,8331,8340,8384,8375,8481,8472,8454,8428,
24,8305,8357,8322,8392,8357,8375,8410,8410,8516,8499,8472,8445,
25,8340,8375,8340,8410,8392,8392,8445,8428,8543,8534,8481,8481,
26,8375,8384,8366,8445,8410,8419,8445,8472,8588,8561,8525,8516,
27,8392,8428,8375,8472,8445,8445,8481,8499,8606,8588,8552,8552,
28,8428,8472,8410,8516,8481,8481,8525,8552,8624,8615,8588,8588,
29,8445,8481,8436,8552,8534,8516,8588,8588,8679,8651,8624,8624,
30,8481,8588,8472,8615,8588,8561,8624,8624,8724,8706,8697,8679,
31,8534,8651,8516,8651,8624,8624,8660,8651,8770,8752,8742,8742,
32,8570,8697,8561,8733,8669,8660,8733,8715,8834,8788,8788,8779,
33,8624,8770,8624,8779,8770,8742,8788,8770,8881,8872,8881,8853,
34,8660,8807,8669,8844,8788,8788,8881,8844,8956,8899,8927,8918,
35,8770,8881,8742,8899,8881,8872,8956,8899,9021,8984,8993,8993,
36,8807,8937,8807,8984,8918,8927,8993,8956,9069,9040,9069,9050,
37,8844,8993,8853,9040,8993,8993,9069,9069,9155,9107,9116,9126,
38,8918,9069,8927,9107,9031,9050,9145,9145,9212,9184,9222,9212,
39,8993,9126,8993,9174,9126,9126,9184,9184,9300,9261,9280,9261,
40,9040,9212,9069,9261,9212,9212,9261,9261,9378,9358,9358,9358,
41,9116,9261,9145,9339,9261,9261,9349,9378,9457,9427,9457,9467,
42,9184,9358,9222,9398,9349,9358,9417,9437,9536,9517,9536,9536,
43,9261,9447,9261,9497,9408,9427,9507,9536,9617,9577,9607,9617,
44,9339,9507,9358,9556,9497,9536,9577,9577,9698,9698,9698,9708,
45,9378,9577,9457,9647,9577,9607,9657,9677,9779,9800,9779,9810,
46,9497,9677,9536,9738,9627,9698,9759,9779,9882,9893,9882,9913,
47,9556,9759,9577,9841,9708,9779,9862,9862,9965,9965,9945,10018,
48,9637,9862,9677,9945,9841,9903,9924,9965,10049,10091,10091,10113,
49,9708,9955,9769,10049,9913,9976,10018,10049,10176,10198,10176,10219,
50,9810,10028,9862,10113,10018,10049,10113,10155,10241,10273,10262,10327,
51,9903,10113,9934,10241,10113,10187,10198,10241,10370,10381,10370,10414,
52,9965,10208,10028,10370,10198,10262,10316,10370,10457,10534,10457,10545,
53,10049,10273,10113,10446,10305,10370,10370,10457,10590,10612,10590,10656,
54,10166,10392,10187,10545,10414,10457,10501,10545,10679,10746,10668,10791,
55,10219,10501,10273,10656,10501,10601,10601,10679,10780,10848,10780,10905,
56,10338,10601,10381,10769,10601,10679,10679,10769,10882,10939,10893,10997,
57,10446,10712,10457,10882,10690,10814,10814,10905,11043,11101,11020,11136,
58,10512,10814,10590,10997,10814,10905,10916,11020,11124,11229,11136,11277,
59,10623,10905,10679,11124,10905,11043,11043,11136,11229,11324,11277,11407,
60,10712,11043,10814,11229,11043,11171,11147,11312,11360,11467,11371,11564,
61,10814,11136,10905,11371,11089,11288,11253,11419,11467,11588,11515,11649,
62,10905,11277,10997,11539,11277,11407,11371,11527,11564,11734,11612,11796,
63,10997,11395,11089,11649,11360,11527,11467,11710,11685,11858,11759,11920,
64,11089,11515,11229,11759,11515,11673,11624,11784,11796,11958,11846,12008,
65,11229,11649,11360,11883,11600,11808,11710,11908,11908,12058,11970,12096,
66,11288,11759,11443,12008,11734,11908,11846,12008,12033,12135,12071,12135,
67,11407,11858,11527,12058,11808,11958,11920,12058,12084,12211,12084,12224,
68,11467,11958,11637,12109,11958,12084,12033,12135,12135,12262,12160,12262,
69,11637,12046,11784,12211,12033,12135,12084,12211,12211,12262,12211,12275,
70,11722,12084,11858,12224,12109,12211,12185,12262,12262,12275,12262,12314,
71,11808,12173,11958,12262,12147,12262,12211,12262,12275,12314,12262,12353,
72,11895,12211,12046,12262,12211,12262,12262,12275,12275,12314,12314,12365,
73,11958,12262,12084,12275,12262,12262,12288,12353,12314,12353,12275,12353,
74,12058,12262,12135,12314,12262,12275,12301,12314,12365,12314,12314,12365,
75,12109,12275,12198,12327,12275,12275,12353,12353,12365,12314,12314,12365,
76,12185,12314,12211,12340,12275,12314,12365,12353,12365,12314,12340,12353,
77,12237,12353,12262,12327,12288,12340,12353,12353,12365,12353,12314,12365,
78,12262,12314,12262,12353,12314,12340,12365,12365,12353,12353,12353,12365,
79,12262,12340,12275,12353,12353,12340,12365,12365,12365,12353,12353,12365,
80,12301,12353,12275,12314,12365,12327,12365,12365,12365,12353,12340,12365,
81,12275,12353,12314,12340,12353,12365,12365,12365,12353,12314,12314,12353,
82,12275,12353,12314,12353,12314,12353,12365,12365,12353,12353,12340,12353,
83,12314,12365,12314,12353,12340,12365,12365,12365,12353,12353,12353,12340,
84,12340,12314,12314,12314,12314,12365,12365,12353,12365,12353,12340,12365,
85,12314,12353,12314,12340,12353,12365,12365,12353,12365,12314,12365,12353,
86,12340,12353,12314,12314,12353,12353,12365,12353,12353,12365,12314,12314,
87,12353,12314,12353,12314,12353,12314,12365,12314,12365,12314,12353,12314,
88,12353,12353,12314,12314,12353,12353,12365,12340,12353,12353,12314,12314,
89,12365,12353,12314,12275,12353,12353,12378,12314,12365,12314,12353,12353,
90,12365,12365,12353,12353,12365,12314,12353,12353,12353,12314,12314,12340,
91,12365,12353,12314,12314,12353,12353,12365,12314,12353,12314,12327,12314,
92,12353,12340,12353,12314,12353,12353,12365,12353,12340,12365,12340,12327,
93,12378,12353,12314,12275,12353,12353,12365,12314,12353,12353,12314,12314,
94,12365,12353,12353,12275,12353,12365,12365,12314,12365,12314,12314,12327,
95,12365,12353,12353,12327,12353,12353,12353,12301,12365,12314,12275,12314,
96,12365,12314,12340,12301,12314,12365,12353,12314,12365,12353,12314,12327,
97,12391,12314,12353,12275,12340,12314,12314,12314,12365,12353,12314,12314,
98,12378,12353,12314,12275,12353,12353,12353,12275,12365,12340,12301,12275,
99,12404,12314,12353,12301,12314,12365,12353,12314,12378,12353,12314,12314,
100,12391,12314,12314,12301,12340,12353,12353,12301,12365,12353,12314,12275,
101,12365,12340,12314,12275,12353,12340,12353,12275,12365,12275,12275,12301,
102,12391,12314,12353,12275,12314,12340,12340,12301,12365,12275,12275,12301,
103,12378,12314,12262,12275,12314,12314,12353,12275,12365,12288,12314,12288,
104,12365,12314,12262,12275,12353,12353,12365,12327,12365,12314,12275,12275,
105,12365,12314,12211,12275,12314,12314,12365,12314,12353,12288,12275,12275,
106,12365,12314,12262,12275,12314,12314,12365,12301,12353,12314,12275,12275,
107,12365,12301,12275,12262,12314,12314,12365,12314,12365,12275,12288,12262,
108,12365,12314,12275,12275,12301,12327,12365,12314,12353,12275,12275,12262,
109,12353,12314,12275,12262,12275,12275,12365,12314,12327,12275,12275,12275,
110,12340,12314,12314,12275,12301,12275,12353,12314,12314,12275,12275,12262,
