NO,W14:[CH#1]chamber heater press,W16:[CH#1]chamber heater press,W18:[CH#1]chamber heater press,W20:[CH#1]chamber heater press,W22:[CH#1]chamber heater press,W24:[CH#1]chamber heater press
1,0,0,0,0,0,0
2,0,8669,8270,3,4678,7324
3,10791,11588,11612,10370,11527,11685
4,11527,10997,10997,11564,11443,11159
5,10668,10381,10392,10814,10523,10545
6,9986,9759,9790,10241,9862,9913
7,9467,9290,9300,9698,9378,9507
8,9126,8993,9012,9222,9069,9116
9,8807,8742,8733,8965,8770,8807
10,8561,8525,8516,8697,8561,8606
11,8436,8410,8384,8516,8428,8481
12,8296,8296,8270,8384,8305,8375
13,8201,8210,8193,8296,8236,8262
14,8133,8167,8133,8210,8201,8210
15,8082,8124,8082,8167,8133,8184
16,8065,8082,8065,8133,8124,8150
17,8040,8082,8065,8133,8099,8150
18,8040,8082,8048,8099,8107,8158
19,8040,8090,8065,8124,8107,8133
20,8065,8082,8065,8099,8099,8167
21,8065,8107,8065,8133,8150,8175
22,8073,8133,8099,8141,8167,8201
23,8099,8150,8133,8150,8184,8236
24,8124,8184,8141,8193,8210,8253
25,8150,8210,8167,8210,8236,8270
26,8167,8236,8210,8236,8270,8305
27,8193,8253,8210,8270,8296,8340
28,8210,8270,8253,8296,8340,8375
29,8236,8305,8270,8305,8375,8410
30,8270,8357,8322,8357,8410,8445
31,8305,8419,8357,8410,8472,8516
32,8357,8445,8410,8445,8543,8552
33,8410,8516,8472,8516,8588,8615
34,8445,8561,8534,8570,8660,8660
35,8499,8615,8588,8624,8688,8715
36,8552,8660,8624,8679,8752,8770
37,8606,8742,8669,8733,8807,8862
38,8660,8788,8742,8779,8862,8909
39,8733,8834,8797,8844,8956,8974
40,8788,8918,8862,8918,9012,9031
41,8844,8974,8927,8993,9069,9116
42,8918,9031,8993,9031,9164,9184
43,8984,9116,9069,9116,9212,9261
44,9050,9164,9116,9174,9300,9319
45,9116,9251,9212,9251,9368,9417
46,9184,9339,9280,9339,9457,9507
47,9251,9378,9339,9378,9497,9556
48,9300,9487,9417,9497,9617,9677
49,9398,9556,9507,9577,9698,9738
50,9457,9637,9607,9688,9769,9810
51,9517,9708,9667,9738,9882,9913
52,9607,9779,9749,9820,9924,9986
53,9677,9882,9820,9945,10018,10070
54,9738,9945,9913,9986,10102,10155
55,9810,10018,9986,10091,10198,10241
56,9903,10091,10070,10187,10262,10327
57,9965,10198,10155,10251,10348,10414
58,10028,10262,10230,10327,10446,10523
59,10113,10370,10316,10414,10545,10601
60,10198,10457,10381,10545,10634,10712
61,10273,10523,10479,10601,10701,10814
62,10370,10679,10601,10701,10814,10928
63,10457,10757,10690,10837,10928,10997
64,10545,10848,10769,10916,10997,11112
65,10601,10905,10859,11043,11112,11229
66,10701,11043,10951,11124,11229,11324
67,10814,11112,11054,11241,11312,11407
68,10893,11218,11136,11371,11395,11515
69,10951,11288,11277,11407,11515,11612
70,11066,11360,11348,11539,11588,11710
71,11136,11467,11407,11649,11685,11808
72,11229,11564,11515,11710,11784,11895
73,11288,11649,11612,11808,11858,11983
74,11371,11759,11685,11883,11958,12071
75,11443,11808,11784,11958,12008,12058
76,11515,11908,11858,12021,12058,12084
77,11612,11958,11945,12096,12109,12135
78,11685,12046,12033,12109,12147,12185
79,11784,12058,12084,12147,12211,12211
80,11846,12109,12109,12211,12185,12237
81,11933,12173,12173,12211,12224,12237
82,12033,12160,12185,12211,12262,12262
83,12058,12224,12211,12237,12262,12262
84,12109,12211,12211,12262,12275,12275
85,12122,12262,12262,12262,12275,12275
86,12147,12262,12262,12262,12275,12275
87,12160,12275,12262,12275,12262,12288
88,12198,12275,12275,12262,12288,12262
89,12211,12275,12275,12275,12275,12275
90,12237,12275,12275,12275,12275,12275
91,12262,12301,12262,12275,12275,12275
92,12275,12327,12262,12288,12275,12327
93,12262,12275,12275,12275,12275,12275
94,12262,12288,12275,12275,12275,12275
95,12262,12301,12288,12275,12275,12288
96,12275,12314,12275,12262,12275,12275
97,12275,12275,12275,12275,12275,12275
98,12314,12275,12275,12275,12275,12275
99,12275,12275,12275,12275,12262,12275
100,12301,12327,12275,12275,12275,12275
101,12275,12275,12275,12275,12275,12288
102,12275,12301,12275,12275,12275,12275
103,12314,12314,12314,12275,12275,12288
104,12314,12353,12275,12288,12275,12301
105,12314,12353,12314,12275,12275,12314
106,12353,12340,12314,12314,12275,12314
107,12353,12353,12275,12275,12314,12314
108,12327,12353,12301,12275,12301,12353
109,12314,12314,12314,12275,12275,12314
110,12353,12314,12314,12288,12301,12314
111,12314,12314,12275,12327,12301,12301
112,12340,12314,12301,12275,12275,12275
113,12353,12314,12275,12275,12275,12301
114,12314,12314,12288,12288,12288,12275
115,12314,12314,12275,12275,12275,12275
116,12314,12275,12288,12275,12275,12275
117,12327,12275,12275,12275,12262,12262
118,12314,12275,12275,12275,12275,12275
119,12314,12301,12275,12262,12275,12275
120,12314,12314,12275,12262,12262,12262
121,12314,12275,12275,12275,12262,12262
122,12301,12288,12275,12262,12275,12262
123,12314,12275,12262,12262,12262,12262
124,12301,12262,12262,12262,12262,12262
125,12275,12262,12262,12262,12262,12262
126,12275,12262,12262,12211,12224,12262
127,12262,12262,12262,12224,12249,12262
128,12275,12021,12224,12211,12211,12262
129,2898,2688,5708,12237,7355,7734
130,1003,956,1276,3054,1385,1405
131,539,420,665,1192,616,721
132,300,294,373,550,354,391
133,228,213,251,329,260,245
134,175,166,199,229,193,185
135,132,141,157,184,160,148
136,117,119,126,148,132,128
137,105,104,109,128,113,110
138,84,88,97,110,102,94
139,65,68,73,94,79,76
140,55,54,58,76,62,60
141,45,47,49,60,53,49
142,38,39,41,49,44,42
143,34,34,35,42,37,36
144,27,28,29,36,32,32
145,21,21,23,32,25,24
146,17,17,18,24,20,19
147,14,15,15,19,16,15
148,12,13,13,15,14,13
149,11,11,11,13,12,11
150,10,10,10,12,10,10
151,8,8,9,10,9,9
152,7,7,7,9,8,7
153,6,6,6,7,6,6
154,5,5,5,6,6,5
155,5,4,5,5,5,5
156,3,3,4,5,4,3
157,3,3,3,4,3,3
158,2,2,2,3,2,2
159,2,2,2,2,2,2
160,2,2,2,2,2,2
161,1,1,1,2,1,1
162,1,1,1,1,1,1
163,1,1,1,1,1,1
164,1,1,1,1,1,1
165,1,1,1,1,1,1
166,1,1,1,1,1,1
167,1,1,1,1,1,1
168,1,1,1,1,1,1
169,1,1,1,1,1,1
170,1,1,1,1,1,1
171,1,1,1,1,1,1
172,1,1,1,1,1,1
173,1,1,1,1,1,1
174,1,1,1,1,1,1
175,1,1,1,1,1,1
176,1,1,1,1,1,1
177,1,1,1,1,1,1
178,1,1,1,1,1,1
179,1,1,1,1,1,1
180,1,1,1,1,1,1
181,1,1,1,1,1,1
182,1,1,1,1,1,1
183,1,1,1,1,1,1
184,1,1,1,1,1,1
185,1,1,1,1,1,1
186,1,1,1,1,1,1
187,1,1,1,1,1,1
188,1,1,1,1,1,1
189,1,1,1,1,1,1
190,1,1,1,1,1,1
191,1,1,1,1,1,1
192,1,1,1,1,1,1
193,1,1,1,1,1,1
194,1,1,1,1,1,1
195,1,1,1,1,1,1
196,1,1,1,1,1,1
197,0,0,0,1,1,0
198,0,0,0,0,0,0
199,0,0,0,0,0,0
200,0,0,0,0,0,0
201,0,0,0,0,0,0
202,0,0,0,0,0,0
203,0,0,0,0,0,0
204,0,0,0,0,0,0
205,0,0,0,0,0,0
206,0,0,0,0,0,0
207,0,0,0,0,0,0
208,0,0,0,0,0,0
209,0,0,0,0,0,0
210,0,0,0,0,0,0
211,0,0,0,0,0,0
212,0,0,0,0,0,0
213,0,0,0,0,0,0
214,0,0,0,0,0,0
215,0,0,0,0,0,0
216,0,0,0,0,0,0
217,0,0,0,0,0,0
218,0,0,0,0,0,0
219,0,0,0,0,0,0
220,0,0,0,0,0,0
221,0,0,0,0,0,0
222,0,0,0,0,0,0
223,0,0,0,0,0,0
224,0,0,0,0,0,0
225,0,0,0,0,0,0
226,0,0,0,0,0,0
227,0,0,0,0,0,0
228,0,0,0,0,0,0
229,0,0,0,0,0,0
230,0,0,0,0,0,0
231,1,0,1,0,0,1
