NO,W07:[CH#1]chamber heater press,W09:[CH#1]chamber heater press,W11:[CH#1]chamber heater press,W13:[CH#1]chamber heater press,W15:[CH#1]chamber heater press,W17:[CH#1]chamber heater press,W19:[CH#1]chamber heater press,W21:[CH#1]chamber heater press,W23:[CH#1]chamber heater press,W25:[CH#1]chamber heater press
1,0,0,3850,0,0,0,0,0,0,0
2,10780,5254,11564,6763,9241,5103,5354,10219,11043,10049
3,11515,11515,11588,11808,11759,11564,11612,11808,11858,11883
4,10837,11089,10871,11360,10928,11515,11515,11089,11171,11288
5,10155,10501,10273,10712,10370,10780,10769,10501,10590,10545
6,9698,10018,9546,10070,9779,10113,10113,9913,9976,9976
7,9261,9497,9212,9567,9339,9698,9708,9457,9507,9607
8,8927,9107,8918,9261,9069,9300,9309,9184,9145,9212
9,8733,8881,8697,8956,8807,8993,8993,8899,8927,8927
10,8552,8651,8552,8733,8615,8807,8834,8724,8742,8770
11,8410,8481,8445,8606,8499,8624,8651,8588,8624,8615
12,8322,8410,8349,8472,8384,8499,8516,8481,8499,8516
13,8244,8296,8288,8375,8305,8428,8436,8410,8428,8445
14,8184,8236,8253,8340,8270,8366,8392,8384,8410,8384
15,8158,8210,8210,8296,8253,8322,8340,8314,8349,8340
16,8133,8167,8210,8270,8236,8305,8331,8305,8340,8340
17,8133,8150,8201,8253,8236,8296,8305,8296,8322,8331
18,8124,8150,8210,8262,8210,8296,8296,8322,8322,8331
19,8133,8150,8210,8262,8210,8296,8305,8305,8340,8340
20,8133,8167,8236,8270,8236,8305,8305,8322,8357,8357
21,8150,8184,8253,8296,8253,8340,8340,8349,8384,8392
22,8167,8210,8253,8305,8270,8349,8375,8384,8392,8410
23,8201,8210,8270,8340,8305,8375,8410,8410,8428,8428
24,8201,8244,8305,8375,8340,8410,8428,8428,8445,8481
25,8236,8253,8340,8384,8357,8445,8472,8436,8481,8481
26,8262,8296,8357,8428,8384,8472,8481,8481,8516,8516
27,8296,8314,8384,8436,8410,8499,8516,8490,8552,8552
28,8305,8340,8428,8445,8436,8534,8552,8552,8561,8588
29,8331,8384,8481,8499,8481,8552,8606,8606,8633,8642
30,8375,8428,8499,8552,8561,8588,8633,8633,8660,8679
31,8410,8472,8552,8588,8588,8651,8697,8679,8733,8742
32,8445,8507,8615,8651,8651,8697,8742,8770,8788,8788
33,8516,8552,8679,8697,8706,8770,8807,8797,8844,8844
34,8561,8606,8724,8752,8770,8807,8862,8881,8890,8918
35,8606,8624,8788,8844,8834,8862,8927,8918,8965,8974
36,8642,8706,8834,8853,8890,8918,8974,8993,9012,9031
37,8706,8770,8890,8927,8927,8974,9040,9031,9107,9116
38,8770,8797,8956,8974,8993,9031,9126,9116,9164,9174
39,8788,8862,9031,9040,9088,9116,9184,9184,9222,9222
40,8881,8927,9069,9116,9155,9193,9261,9241,9309,9300
41,8918,8974,9155,9184,9222,9241,9339,9309,9378,9368
42,8974,9050,9222,9241,9300,9309,9408,9398,9467,9467
43,9050,9116,9261,9309,9358,9378,9477,9457,9546,9546
44,9069,9184,9349,9378,9457,9457,9556,9536,9617,9607
45,9145,9241,9378,9457,9517,9536,9617,9617,9708,9688
46,9222,9309,9457,9536,9607,9607,9738,9677,9779,9749
47,9261,9378,9546,9607,9657,9688,9820,9779,9903,9841
48,9339,9467,9617,9698,9759,9759,9924,9862,9965,9955
49,9408,9546,9698,9779,9820,9831,10018,9945,10060,10018
50,9457,9617,9759,9862,9924,9945,10113,10028,10187,10113
51,9536,9698,9862,9945,10028,10018,10198,10113,10262,10198
52,9577,9738,9913,10028,10113,10113,10273,10198,10370,10273
53,9637,9810,9986,10091,10208,10187,10370,10273,10457,10370
54,9708,9903,10060,10187,10273,10262,10468,10370,10545,10457
55,9779,9965,10113,10262,10381,10338,10545,10457,10634,10545
56,9862,10018,10198,10327,10479,10446,10679,10545,10746,10634
57,9913,10102,10273,10381,10545,10545,10769,10623,10825,10769
58,9986,10176,10381,10512,10634,10634,10859,10701,10939,10814
59,10039,10262,10479,10601,10757,10724,10974,10814,11043,10905
60,10113,10338,10545,10690,10837,10814,11066,10893,11136,10997
61,10176,10414,10634,10791,10916,10905,11182,10997,11277,11089
62,10273,10490,10712,10893,11043,10997,11288,11089,11371,11229
63,10348,10590,10814,10997,11089,11089,11467,11171,11467,11277
64,10403,10634,10893,11078,11206,11171,11552,11277,11588,11407
65,10457,10769,10985,11171,11288,11277,11624,11371,11710,11527
66,10545,10814,11066,11241,11395,11395,11759,11467,11808,11588
67,10634,10905,11124,11336,11515,11467,11858,11576,11908,11698
68,10679,10939,11229,11419,11612,11552,11958,11661,11958,11808
69,10780,11066,11288,11515,11710,11673,12033,11734,12058,11870
70,10848,11112,11371,11588,11796,11759,12096,11858,12109,11958
71,10905,11171,11467,11661,11895,11858,12135,11920,12147,12046
72,10997,11277,11527,11759,11958,11920,12185,11958,12224,12084
73,11054,11324,11600,11808,12046,12008,12211,12058,12262,12135
74,11089,11371,11661,11895,12084,12058,12262,12084,12262,12185
75,11182,11467,11759,11958,12109,12109,12262,12147,12262,12198
76,11241,11515,11846,12033,12185,12173,12275,12173,12275,12211
77,11312,11588,11883,12084,12224,12211,12275,12211,12314,12262
78,11371,11649,11958,12109,12262,12262,12275,12224,12301,12262
79,11443,11722,12058,12147,12275,12262,12288,12262,12314,12275
80,11467,11796,12096,12211,12275,12275,12314,12262,12314,12262
81,11527,11858,12122,12224,12275,12275,12301,12275,12314,12275
82,11612,11920,12160,12262,12275,12314,12314,12275,12314,12275
83,11649,11983,12211,12275,12301,12314,12314,12275,12314,12301
84,11710,12046,12224,12275,12314,12314,12301,12275,12314,12275
85,11771,12084,12237,12301,12340,12314,12314,12314,12314,12353
86,11808,12135,12262,12275,12327,12314,12314,12327,12327,12275
87,11883,12147,12262,12314,12314,12314,12314,12314,12353,12301
88,11895,12185,12288,12340,12353,12314,12314,12314,12314,12314
89,11958,12211,12275,12365,12353,12301,12314,12327,12340,12314
90,12021,12211,12275,12353,12314,12314,12314,12327,12314,12314
91,12058,12262,12301,12314,12353,12340,12275,12353,12340,12314
92,12084,12262,12314,12353,12314,12314,12301,12340,12340,12327
93,12109,12275,12327,12314,12353,12314,12314,12353,12314,12314
94,12160,12275,12314,12353,12314,12327,12275,12353,12314,12275
95,12173,12288,12314,12353,12314,12314,12288,12327,12314,12314
96,12198,12288,12314,12365,12314,12314,12288,12314,12275,12301
