NO,W02:[CH#1]chamber heater press,W04:[CH#1]chamber heater press,W06:[CH#1]chamber heater press,W08:[CH#1]chamber heater press,
1,0,0,0,0,
2,0,8107,0,0,
3,10241,11564,9003,10512,
4,11759,11171,11564,11588,
5,11066,10381,11101,10939,
6,10457,9779,10370,10241,
7,9903,9378,9759,9759,
8,9497,9021,9368,9339,
9,9184,8733,9012,9021,
10,8956,8561,8742,8752,
11,8770,8410,8561,8552,
12,8624,8270,8392,8410,
13,8552,8201,8270,8305,
14,8445,8124,8210,8210,
15,8384,8065,8150,8167,
16,8366,8048,8099,8124,
17,8331,8031,8082,8090,
18,8305,8031,8065,8065,
19,8270,8006,8065,8082,
20,8270,8006,8048,8082,
21,8279,8023,8065,8082,
22,8279,8031,8065,8099,
23,8270,8040,8082,8099,
24,8296,8065,8082,8124,
25,8270,8065,8099,8133,
26,8296,8073,8133,8150,
27,8296,8082,8141,8193,
28,8296,8082,8167,8201,
29,8305,8124,8184,8210,
30,8322,8133,8218,8253,
31,8322,8150,8270,8270,
32,8340,8193,8296,8305,
33,8357,8236,8322,8349,
34,8392,8253,8357,8375,
35,8428,8288,8392,8410,
36,8481,8322,8436,8445,
37,8499,8384,8481,8516,
38,8534,8410,8534,8552,
39,8588,8472,8588,8606,
40,8615,8499,8624,8660,
41,8660,8534,8660,8697,
42,8724,8561,8733,8752,
43,8742,8624,8770,8834,
44,8788,8660,8807,8881,
45,8834,8697,8890,8918,
46,8890,8752,8918,8993,
47,8927,8788,8974,9040,
48,8974,8844,9040,9126,
49,8993,8899,9069,9174,
50,9031,8956,9145,9241,
51,9088,8993,9212,9300,
52,9126,9040,9232,9378,
53,9184,9126,9309,9447,
54,9241,9164,9368,9507,
55,9280,9184,9408,9577,
56,9339,9241,9487,9657,
57,9378,9309,9556,9708,
58,9417,9358,9617,9779,
59,9477,9398,9688,9862,
60,9536,9457,9759,9924,
61,9556,9517,9810,10018,
62,9617,9556,9893,10070,
63,9698,9617,9945,10155,
64,9718,9698,10018,10219,
65,9779,9738,10049,10273,
66,9820,9779,10113,10327,
67,9882,9851,10198,10414,
68,9913,9903,10251,10479,
69,9965,9945,10327,10545,
70,10028,10018,10370,10634,
71,10049,10028,10457,10701,
72,10113,10113,10490,10769,
73,10176,10155,10556,10859,
74,10219,10219,10634,10905,
75,10262,10273,10679,10997,
76,10305,10327,10769,11043,
77,10381,10370,10814,11124,
78,10403,10414,10859,11171,
79,10457,10479,10928,11277,
80,10501,10523,11020,11324,
81,10545,10590,11066,11395,
82,10545,10612,11112,11467,
83,10601,10656,11159,11527,
84,10634,10724,11229,11612,
85,10701,10780,11288,11649,
86,10712,10814,11360,11710,
87,10769,10859,11395,11796,
88,10814,10905,11467,11846,
89,10825,10939,11467,11895,
90,10848,10997,11564,11958,
91,10905,11008,11612,12008,
92,10905,11089,11649,12058,
93,10939,11112,11710,12109,
94,10974,11159,11759,12122,
95,10997,11206,11796,12160,
96,11043,11253,11858,12185,
97,11078,11288,11895,12211,
98,11101,11324,11933,12237,
99,11136,11360,11958,12262,
100,11159,11395,12033,12262,
