NO,W18:SVPLATEN1 STATUS CONDHEADPSI,W01:SVPLATEN1 STATUS CONDHEADPSI,W02:SVPLATEN1 STATUS CONDHEADPSI,W03:SVPLATEN1 STATUS CONDHEADPSI,W04:SVPLATEN1 STATUS CONDHEADPSI,W05:SVPLATEN1 STATUS CONDHEADPSI,W06:SVPLATEN1 STATUS CONDHEADPSI,W07:SVPLATEN1 STATUS CONDHEADPSI,W08:SVPLATEN1 STATUS CONDHEADPSI,W09:SVPLATEN1 STATUS CONDHEADPSI,W10:SVPLATEN1 STATUS CONDHEADPSI,W11:SVPLATEN1 STATUS CONDHEADPSI,W12:SVPLATEN1 STATUS CONDHEADPSI,W13:SVPLATEN1 STATUS CONDHEADPSI,W14:SVPLATEN1 STATUS CONDHEADPSI,W15:SVPLATEN1 STATUS CONDHEADPSI,W16:SVPLATEN1 STATUS CONDHEADPSI,W17:SVPLATEN1 STATUS CONDHEADPSI,W18:SVPLATEN1 STATUS CONDHEADPSI,W19:SVPLATEN1 STATUS CONDHEADPSI,W20:SVPLATEN1 STATUS CONDHEADPSI,W21:SVPLATEN1 STATUS CONDHEADPSI,W22:SVPLATEN1 STATUS CONDHEADPSI,W23:SVPLATEN1 STATUS CONDHEADPSI,W24:SVPLATEN1 STATUS CONDHEADPSI,W25:SVPLATEN1 STATUS CONDHEADPSI
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05,4.745,0,0,0,0,0,0,0,0
10,0,0,4.886,4.812,4.818,4.821,0,4.461,0,4.833,0,0,4.818,4.83,4.788,4.843,4.881,4.818,4.818,4.843,4.818,4.83,4.775,4.721,4.818,4.818
11,4.753,4.843,4.836,4.782,4.788,4.824,4.794,4.757,4.8,4.849,4.843,4.843,4.818,4.843,4.8,4.818,4.812,4.8,4.849,4.812,4.83,4.824,4.782,4.763,4.83,4.836
12,4.743,4.824,4.812,4.733,4.794,4.782,4.8,4.8,4.824,4.849,4.806,4.818,4.875,4.806,4.788,4.824,4.806,4.775,4.806,4.806,4.818,4.8,4.794,4.806,4.812,4.8
13,4.746,4.859,4.739,4.782,4.733,4.775,4.812,4.83,4.8,4.821,4.812,4.782,4.775,4.788,4.757,4.751,4.727,4.788,4.794,4.757,4.745,4.763,4.745,4.696,4.727,4.733
14,4.692,4.824,4.763,4.8,4.788,4.721,4.775,4.8,4.721,4.788,4.8,4.812,4.824,4.83,4.775,4.806,4.8,4.8,4.788,4.812,4.8,4.788,4.794,4.806,4.769,4.769
15,4.724,4.8,4.8,4.812,4.794,4.824,4.797,4.751,4.775,4.791,4.788,4.751,4.818,4.836,4.8,4.763,4.782,4.775,4.818,4.775,4.782,4.806,4.8,4.769,4.8,4.83
16,4.741,4.782,4.824,4.757,4.812,4.806,4.843,4.769,4.818,4.818,4.794,4.769,4.824,4.854,4.824,4.812,4.797,4.806,4.824,4.83,4.824,4.812,4.788,4.824,4.8,4.843
17,4.738,4.818,4.812,4.775,4.812,4.751,4.818,4.818,4.875,4.775,4.836,4.818,4.83,4.788,4.8,4.782,4.788,4.788,4.824,4.775,4.788,4.782,4.745,4.763,4.757,4.775
18,4.743,4.818,4.794,4.751,4.782,4.763,4.788,4.8,4.8,4.794,4.8,4.763,4.782,4.8,4.788,4.812,4.739,4.788,4.836,4.769,4.806,4.812,4.745,4.788,4.775,4.794
19,4.743,4.769,4.721,4.8,4.772,4.702,4.8,4.763,4.8,4.751,4.763,4.824,4.818,4.775,4.818,4.806,4.763,4.775,4.751,4.714,4.733,4.8,4.769,4.775,4.812,4.763
20,4.717,4.757,4.83,4.806,4.8,4.757,4.751,4.782,4.751,4.83,4.769,4.806,4.836,4.818,4.849,4.809,4.854,4.763,4.806,4.824,4.824,4.812,4.824,4.824,4.812,4.812
21,4.753,4.782,4.875,4.751,4.854,4.824,4.824,4.782,4.849,4.818,4.818,4.782,4.83,4.83,4.818,4.854,4.806,4.794,4.806,4.806,4.849,4.824,4.849,4.824,4.843,4.812
22,4.753,4.824,4.83,4.923,4.788,4.843,4.806,4.824,4.818,4.83,4.806,4.782,4.8,4.824,4.788,4.843,4.806,4.757,4.824,4.824,4.843,4.806,4.836,4.8,4.854,4.812
23,4.746,4.862,4.939,4.772,4.875,4.886,4.8,4.806,4.8,4.859,4.775,4.812,4.902,4.865,4.881,4.886,4.865,4.775,4.794,4.907,4.87,4.87,4.87,4.886,4.897,4.907
24,4.765,4.875,4.821,4.769,4.763,4.775,4.897,4.794,4.87,4.806,4.897,4.806,4.806,4.782,4.769,4.782,4.923,4.8,4.87,4.745,4.918,4.944,4.751,4.769,4.824,4.928
25,4.741,4.8,4.788,4.818,4.757,4.739,4.923,4.794,4.812,4.806,4.757,4.812,4.782,4.739,4.782,4.806,4.836,4.757,4.812,4.763,4.859,4.854,4.751,4.788,4.782,4.862
26,4.721,4.751,4.836,4.818,4.788,4.8,4.849,4.8,4.775,4.8,4.751,4.824,4.87,4.788,4.745,4.818,4.971,4.794,4.782,4.775,4.928,4.997,4.812,4.806,4.836,4.944
27,4.76,4.849,4.782,4.751,4.875,4.794,4.923,4.769,4.806,4.8,4.769,4.83,4.836,4.87,4.83,4.757,4.944,4.779,4.818,4.812,4.923,4.912,4.806,4.806,4.782,4.915
28,4.767,4.788,4.794,5.136,4.769,4.824,4.907,4.794,4.923,4.714,4.897,4.788,4.788,4.824,4.745,4.757,4.757,4.757,4.886,4.751,4.952,4.751,4.721,4.769,4.782,4.757
29,4.743,4.788,4.902,4.794,4.891,4.875,4.769,4.769,4.782,5.151,4.769,4.794,4.955,4.899,5.131,4.955,5.07,4.745,4.818,5.126,4.87,5.106,4.976,4.907,5.116,4.886
30,4.76,4.891,4.739,4.8,4.751,4.714,4.483,4.775,4.955,4.733,4.757,4.794,4.794,4.733,4.733,4.763,4.769,4.782,4.745,4.782,4.751,4.769,4.739,4.727,4.751,4.757
31,4.7,4.806,4.794,4.788,4.763,4.8,4.376,4.806,4.739,4.824,4.769,4.775,4.818,4.818,4.83,4.849,4.782,4.854,4.751,4.824,4.8,4.836,4.794,4.8,4.854,4.818
32,4.721,4.775,4.849,4.806,4.83,4.8,4.429,4.794,4.757,4.854,4.794,4.769,4.854,4.824,4.836,4.824,4.812,4.751,4.83,4.812,4.824,4.812,4.818,4.818,4.859,4.806
33,4.736,4.824,4.824,4.721,4.818,4.788,4.434,4.782,4.812,4.806,4.843,4.794,4.87,4.818,4.849,4.824,4.769,4.806,4.83,4.788,4.782,4.794,4.83,4.827,4.854,4.745
34,4.734,4.849,4.693,4.981,4.745,4.708,4.381,4.782,4.849,4.696,4.806,4.788,4.727,4.751,4.763,4.721,4.757,4.751,4.8,4.733,4.721,4.696,4.745,4.702,4.721,4.696
35,4.706,4.714,4.739,4.635,4.598,4.859,4.365,4.788,4.739,4.902,4.745,4.757,4.763,4.614,4.902,4.897,4.647,4.751,4.757,4.939,4.61,4.618,4.739,4.757,4.95,4.66
36,4.714,4.727,4.684,4.635,4.647,4.666,4.511,4.769,4.606,4.69,4.96,4.806,4.623,4.66,4.647,4.66,4.666,4.782,4.666,4.69,4.635,4.647,4.684,4.635,4.629,4.623
37,4.695,4.654,4.629,4.566,4.635,4.598,4.291,4.769,4.66,4.647,4.672,4.812,4.678,4.623,4.614,4.657,4.684,4.806,4.66,4.684,4.614,4.629,4.635,4.629,4.66,4.57
38,4.651,4.666,4.61,4.58,4.562,4.578,4.28,4.812,4.654,4.582,4.641,4.782,4.578,4.578,4.582,4.562,4.598,4.782,4.586,4.594,4.57,4.562,4.566,4.566,4.59,4.606
39,4.677,4.578,4.586,4.586,4.578,4.57,4.245,4.745,4.574,4.59,4.586,4.757,4.586,4.582,4.574,4.602,4.58,4.782,4.614,4.586,4.598,4.596,4.578,4.57,4.582,4.598
40,4.637,4.574,4.614,4.61,4.608,4.6,4.172,4.782,4.578,4.614,4.566,4.8,4.614,4.635,4.582,4.57,4.618,4.794,4.59,4.59,4.59,4.566,4.594,4.606,4.602,4.594
41,4.642,4.59,4.582,4.635,4.574,4.574,4.215,4.794,4.606,4.598,4.59,4.794,4.618,4.618,4.594,4.562,4.629,4.775,4.594,4.618,4.582,4.57,4.578,4.582,4.594,4.578
42,4.656,4.566,4.566,4.629,4.618,4.602,4.27,4.763,4.57,4.618,4.594,4.782,4.602,4.684,4.618,4.598,4.647,4.788,4.635,4.61,4.647,4.641,4.606,4.606,4.654,4.654
43,4.663,4.61,4.623,4.61,4.618,4.684,4.245,4.782,4.641,4.647,4.618,4.733,4.629,4.66,4.629,4.672,4.641,4.775,4.629,4.635,4.647,4.66,4.623,4.614,4.629,4.57
44,4.644,4.657,4.57,4.865,4.614,4.562,4.296,4.788,4.647,4.59,4.66,4.775,4.598,4.61,4.843,4.61,4.614,4.775,4.678,4.614,4.647,4.739,4.578,4.578,4.782,4.859
45,4.644,4.629,4.897,4.739,4.843,4.891,4.233,4.83,4.606,4.843,4.635,4.763,4.854,4.87,4.881,4.843,4.859,4.708,4.875,4.849,4.843,4.849,4.854,4.859,4.854,4.912
46,4.787,4.875,4.939,4.782,4.981,4.757,4.471,4.769,4.875,4.812,4.83,4.782,4.782,4.923,4.902,4.775,4.923,4.751,4.891,4.763,4.859,4.782,4.721,4.8,4.971,4.812
47,4.772,4.955,4.794,4.812,4.8,4.788,4.376,4.775,4.8,4.788,4.849,4.812,4.818,4.824,4.806,4.757,4.782,4.751,4.824,4.818,4.788,4.775,4.812,4.775,4.806,4.775
48,4.77,4.818,4.8,4.666,4.824,4.788,4.429,4.782,4.794,4.794,4.782,4.751,4.8,4.782,4.854,4.782,4.806,4.733,4.788,4.8,4.806,4.757,4.806,4.8,4.788,4.696
49,4.792,4.775,4.782,4.745,4.763,4.806,4.471,4.763,4.794,4.733,4.794,4.763,4.745,4.769,4.8,4.714,4.714,4.763,4.788,4.775,4.751,4.702,4.745,4.769,4.739,4.751
50,4.746,4.748,4.708,4.788,4.696,4.727,4.386,4.775,4.739,4.769,4.782,4.769,4.727,4.727,4.721,4.812,4.684,4.733,4.763,4.714,4.672,4.769,4.751,4.721,4.769,4.782
51,4.748,4.702,4.757,4.757,4.745,4.757,4.355,4.794,4.739,4.763,4.708,4.782,4.8,4.763,4.751,4.812,4.775,4.794,4.775,4.788,4.751,4.745,4.733,4.769,4.739,4.782
52,4.796,4.818,4.788,4.745,4.794,4.775,4.434,4.8,4.763,4.83,4.794,4.818,4.782,4.751,4.775,4.806,4.751,4.739,4.806,4.794,4.824,4.763,4.769,4.727,4.812,4.757
53,4.799,4.843,4.775,4.739,4.788,4.751,4.408,4.769,4.788,4.806,4.775,4.794,4.8,4.757,4.775,4.769,4.769,4.727,4.769,4.745,4.788,4.751,4.745,4.782,4.794,4.721
54,4.799,4.8,4.702,4.812,4.769,4.745,4.418,4.769,4.763,4.714,4.763,4.788,4.751,4.763,4.733,4.714,4.714,4.775,4.775,4.775,4.745,4.714,4.739,4.721,4.745,4.775
